id,user_prompt,expected_tool_calls,actual_tool_calls,missing_tool_calls,expected_final_contains,missing_final_substrings,passed,final_response_preview,dataset,provider,model
index-beginner-cli-roundup,"Using the available tools, find a few beginner Coding Challenges that are command-line utilities and name at least three of them.",read_challenge_index,search_challenges,read_challenge_index,beginner,,False,Here are three **beginner‑level** coding challenges that ask you to re‑implement classic command‑line utilities:  1. **Build Your Own wc Tool** – a tiny version of the Unix `wc` (word‑count) program.   2. **Build Your Own Sort Tool** – implement the Unix `sort` command with various sorting options.   3. **Build Your Own cat Tool** – recreate the Unix `cat` utility for concatenating and displaying files.    All three are labeled “beginner” and focus on command‑line interface (CLI) skills such as ,evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
index-networking-options,Use the tools to browse the challenge index and suggest intermediate networking-related challenges I could build.,read_challenge_index,search_challenges,read_challenge_index,intermediate,,False,"Here are the **intermediate‑level challenges that focus on networking** (or include a strong networking component) from the Coding Challenges catalog:  | # | Challenge | Core Networking Skills Highlighted | Why It’s a Good Fit | |---|-----------|------------------------------------|-------------------| | 005 | **Build Your Own Load Balancer** | HTTP/HTTPS, socket programming, health‑checking, concurrency, system‑design | Gives you experience with Layer‑7 routing, connection pooling, and real‑tim",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
index-games-list,Please check the Coding Challenges index with a tool and list some game projects from it.,read_challenge_index,search_challenges,read_challenge_index,game,,False,"Here are several game‑focused challenges from the Coding Challenges index:  | # | Challenge (title) | Difficulty | Main Skills Highlighted | |---|-------------------|------------|--------------------------| | 036 | **Build Your Own Pong** | Beginner | game loops, 2D rendering, collision detection, input handling | | 043 | **Build Your Own Tetris** | Beginner | game loops, 2D rendering, collision detection, state management | | 057 | **Build Your Own Snake Game** | Beginner | game loops, 2D rende",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
search-concepts-compression,I want a challenge about Huffman coding and file compression. Search the challenge data before answering.,search_challenges,search_challenges;read_file,,compression,,True,"Here’s the Huffman‑coding challenge you were looking for:  **Build Your Own Compression Tool**   - **ID:** 3   - **Difficulty:** intermediate   - **Skills:** data structures, algorithms, binary I/O, Huffman coding   - **URL:** https://codingchallenges.fyi/challenges/challenge-huffman    **Description**   Create a command‑line compression utility that implements Huffman coding. Your tool should be able to:  1. **Compress** any file by building a Huffman tree from the input’s byte frequencies, gen",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
search-concepts-recursive-dns,Find the challenge where I implement recursive DNS lookups over UDP. Use the available search tool first.,search_challenges,search_challenges;read_file,,DNS,,True,"The challenge you’re looking for is **“Build Your Own DNS Resolver.”**    - **File:** `022-challenge-dns-resolver.md`   - **Difficulty:** Intermediate   - **Key Skills:** DNS protocol, network programming, UDP sockets, binary data parsing, protocol implementation    **Description:** Build a DNS resolver that translates domain names into IP addresses by implementing the DNS protocol, crafting UDP packets, and performing recursive resolution.",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
search-concepts-bloom-spellcheck,Which Coding Challenge teaches a probabilistic data structure for fast spell checking? Use a tool to look it up.,search_challenges,search_challenges,,Bloom,,True,"The challenge you’re looking for is:  **Build Your Own Spell Checker Using A Bloom Filter**   *(Challenge 053 – beginner)*    This challenge teaches how to use a Bloom filter—a probabilistic data structure that provides fast, memory‑efficient set membership checks—to implement a spell‑checking tool. It covers the required data‑structures, hash functions, and probability concepts.",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
search-alias-container-runtime,"Search for the challenge about namespaces, cgroups, chroot, and pulling images from Docker Hub.",search_challenges,search_challenges;read_file,,Docker,,True,"The challenge you’re looking for is **“Build Your Own Docker.”** It’s an intermediate‑level project that covers exactly those topics—Linux namespaces, cgroups, `chroot`, and pulling images from Docker Hub.",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
search-ambiguous-redis-server,"There seem to be Redis-related challenges. Use search and tell me which one is about building the server itself, not the CLI client.",search_challenges,search_challenges,,Redis Server,,True,"The Redis‑related challenges are:  | Challenge | What it focuses on | |-----------|---------------------| | **Build Your Own Redis Server** (`008‑challenge‑redis.md`) | Implements the **Redis server** itself – networking, the RESP protocol, data structures, concurrency, persistence, etc. | | **Build Your Own Redis CLI Tool** (`037‑challenge‑redis‑cli.md`) | Implements a **client** (command‑line interface) that talks to an existing Redis server. |  So the challenge that’s about building the **ser",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
search-ambiguous-dns-forwarder-vs-resolver,"Use the search tool to distinguish the DNS resolver challenge from the DNS forwarder challenge, and tell me which one recursively resolves names.",search_challenges,search_challenges;read_file;read_file,,resolver,,True,"**DNS Resolver (challenge 022)**   - Goal: Implement the full DNS client logic yourself.   - Key requirement: *perform recursive resolution* – the program must follow the chain of DNS queries (root → TLD → authoritative) until it obtains the final answer.  **DNS Forwarder (challenge 044)**   - Goal: Act as a middle‑man that simply receives a DNS query from a client and forwards that query to an upstream DNS server, then returns the upstream response.   - It does **not** need to implement the rec",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
search-ambiguous-json-jq,I do not want jq; I want the challenge about parsing JSON from scratch. Search the challenge files before replying.,search_challenges,search_challenges;read_file,,JSON Parser,,True,"Here’s the **Build Your Own JSON Parser** challenge:  - **Title:** Build Your Own JSON Parser   - **Difficulty:** Intermediate   - **URL:** <https://codingchallenges.fyi/challenges/challenge-json-parser>   - **Skills Covered:** lexical analysis, syntactic parsing, abstract syntax trees, test‑driven development    **Description:**   Create a JSON parser from scratch, learning the fundamentals of lexical analysis and syntactic parsing that underpin compilers and data format processors.    You can ",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
read-exact-cut,Read 004-challenge-cut.md with the tool and summarize what the cut clone needs to support.,read_file,read_file,,cut,,True,**Cut clone – required features**  1. **Basic functionality**    - Read one or more input files (or stdin) line‑by‑line.    - Output each line with only the selected fields/characters.  2. **Selection modes**    - **Byte mode** (`-b`): select specific byte positions.    - **Character mode** (`-c`): select specific character positions (Unicode‑aware).    - **Field mode** (`-f`): split each line on a delimiter and keep the chosen fields.  3. **Delimiters**    - Default delimiter for field mode is ,evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
read-exact-load-balancer,Use read_file on 005-challenge-load-balancer.md and tell me the main behavior I need to implement.,read_file,read_file,,load balancer,,True,"The core behavior you need to implement for the **Load Balancer** challenge is:  *Create a Layer‑7 HTTP load balancer that receives incoming HTTP requests, forwards each request to one of several backend servers using a **round‑robin** scheduling algorithm, and performs **health‑checking** of those back‑ends to ensure only healthy instances receive traffic.*",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
read-exact-git,Open 026-challenge-git.md using the available file-reading tool and summarize the core Git features required.,read_file,read_file,,git,,True,"**Core Git features you’ll need to implement**  1. **Repository initialization** – create a `.git` directory with the required sub‑folders (objects, refs, HEAD, config, etc.) and set up the initial empty repository structure.  2. **Staging area (index)** – track added/modified files, write the index file, and update it when the user runs an “add”‑like command.  3. **Commit creation**      * Compute SHA‑1 hashes for blobs (file contents), trees (directory listings), and commit objects.      * Sto",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
read-exact-yaml,"Read the YAML parser challenge file, 067-challenge-yaml.md, before explaining what I would build.",read_file,,read_file,YAML,YAML,False,,evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
read-exact-video-chat,Use the tools to read 076-challenge-video-chat.md and summarize the technologies involved.,read_file,read_file,,WebRTC,,True,"**Video‑Chat Challenge – Technology Summary**  | Area | Technologies / Concepts | |------|--------------------------| | **Real‑time media transport** | **WebRTC** – the core peer‑to‑peer API for audio/video streams, data channels, NAT traversal (STUN/TURN), ICE negotiation, codecs (VP8/VP9/H.264, Opus) | | **Signalling** | Any lightweight channel that lets peers exchange SDP offers/answers and ICE candidates. Common choices: WebSocket server, Socket.IO, HTTP long‑polling, or simple REST endpoint",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
